13,700,810
15,800,910
17,900,1005
19,1000,1105
21,1100,1205
23,1200,1305
25,1300,1405
27,1400,1505
31,1500,1605
33,1600,1705
35,1700,1805
37,1800,1905
39,1900,2015
41,1920,2035
985,615,720
13,07:00,08:10
15,08:00,09:10
17,09:00,10:10
19,10:00,11:10
21,11:00,12:05
23,12:00,13:05
25,13:00,14:05
27,14:00,15:05
31,15:00,16:05
33,16:00,17:10
35,17:00,18:10
37,18:00,19:10
39,19:00,20:15
41,19:20,20:35
